index,sample_id,possible_answers,query_type,query,answer,image_name
46,46,,,Is the mps doing something with the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-001024.jpg
47,47,,,What is the patient doing with the operating table?,The patient is lying on the operating table,camera01_colorimage-003455.jpg
48,48,,,What is the anesthetist doing with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-003455.jpg
49,49,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-003455.jpg
50,50,,,What is the relation between the drape and the operating table?,The drape is lying on the operating table,camera01_colorimage-003455.jpg
51,51,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-003455.jpg
52,52,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-003455.jpg
53,53,,,What is the assistant surgeon doing with the patient?,The assistant surgeon is touching the patient,camera01_colorimage-003455.jpg
54,54,,,What is the relation between the mps and the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-003455.jpg
55,55,,,What is the relation between the head surgeon and the patient?,The head surgeon is touching the patient,camera01_colorimage-003455.jpg
56,56,,,What is the head surgeon doing with the instrument?,The head surgeon is holding the instrument,camera01_colorimage-003455.jpg
57,57,,,What is the relation between the nurse and the instrument table?,The nurse is close to the instrument table,camera01_colorimage-005961.jpg
58,58,,,Is the nurse doing something with the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-000633.jpg
59,59,,,What is the circulator doing with the instrument table?,The circulator is close to the instrument table,camera01_colorimage-000633.jpg
60,60,,,What is the relation between the mps and the MPS station?,The mps is close to the MPS station,camera01_colorimage-000633.jpg
61,61,,,What is the mps doing with the monitor?,The mps is close to the monitor,camera01_colorimage-000633.jpg
62,62,,,Is the mps doing something with the tracker?,The mps is manipulating the tracker,camera01_colorimage-000633.jpg
63,63,,,What is the relation between the nurse and the instrument table?,The nurse is close to the instrument table,camera01_colorimage-000543.jpg
64,64,,,What is the relation between the mps and the MPS station?,The mps is close to the MPS station,camera01_colorimage-000543.jpg
65,65,,,What is the mps doing with the tracker?,The mps is close to the tracker,camera01_colorimage-000543.jpg
66,66,,,Is the mps doing something with the monitor?,The mps is close to the monitor,camera01_colorimage-000543.jpg
67,67,,,What is the relation between the nurse and the instrument table?,The nurse is close to the instrument table,camera01_colorimage-000867.jpg
68,68,,,What is the mps doing with the robot?,The mps is manipulating the robot,camera01_colorimage-000867.jpg
69,69,,,What is the relation between the patient and the operating table?,The patient is lying on the operating table,camera01_colorimage-003386.jpg
70,70,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-003386.jpg
71,71,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-003386.jpg
72,72,,,Is the assistant surgeon doing something with the MPS station?,The assistant surgeon is close to the MPS station,camera01_colorimage-003386.jpg
73,73,,,What is the relation between the drape and the operating table?,The drape is lying on the operating table,camera01_colorimage-003386.jpg
74,74,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-003386.jpg
75,75,,,Is the nurse doing something with the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-003386.jpg
76,76,,,What is the relation between the assistant surgeon and the patient?,The assistant surgeon is preparing the patient,camera01_colorimage-003386.jpg
77,77,,,Is the mps doing something with the MPS station?,The mps is touching the MPS station,camera01_colorimage-003386.jpg
78,78,,,What is the relation between the head surgeon and the patient?,The head surgeon is drilling the patient,camera01_colorimage-003386.jpg
79,79,,,Is the circulator doing something with the instrument table?,The circulator is close to the instrument table,camera01_colorimage-003386.jpg
80,80,,,What is the head surgeon doing with the drill?,The head surgeon is holding the drill,camera01_colorimage-003386.jpg
81,81,,,What is the relation between the patient and the operating table?,The patient is lying on the operating table,camera01_colorimage-005411.jpg
82,82,,,What is the drape doing with the operating table?,The drape is lying on the operating table,camera01_colorimage-005411.jpg
83,83,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-005411.jpg
84,84,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-005411.jpg
85,85,,,What is the anesthetist doing with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-005411.jpg
86,86,,,What is the relation between the C-arm and the patient?,The C-arm is close to the patient,camera01_colorimage-005411.jpg
87,87,,,What is the mps doing with the nurse?,The mps is close to the nurse,camera01_colorimage-005411.jpg
88,88,,,Is the nurse doing something with the instrument?,The nurse is holding the instrument,camera01_colorimage-005411.jpg
89,89,,,What is the patient doing with the operating table?,The patient is lying on the operating table,camera01_colorimage-005778.jpg
90,90,,,What is the relation between the drape and the operating table?,The drape is lying on the operating table,camera01_colorimage-005778.jpg
91,91,,,Is the drape doing something with the patient?,The drape is lying on the patient,camera01_colorimage-005778.jpg
92,92,,,What is the anesthetist doing with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-005778.jpg
93,93,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-005778.jpg
94,94,,,What is the relation between the anesthetist and the patient?,The anesthetist is close to the patient,camera01_colorimage-005778.jpg
95,95,,,Is the mps doing something with the instrument table?,The mps is close to the instrument table,camera01_colorimage-005778.jpg
96,96,,,Is the circulator doing something with the instrument?,The circulator is holding the instrument,camera01_colorimage-005778.jpg
97,97,,,What is the relation between the circulator and the instrument table?,The circulator is close to the instrument table,camera01_colorimage-005778.jpg
98,98,,,What is the circulator doing with the nurse?,The circulator is close to the nurse,camera01_colorimage-005778.jpg
99,99,,,What is the nurse doing with the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-000626.jpg
100,100,,,What is the mps doing with the robot?,The mps is manipulating the robot,camera01_colorimage-000626.jpg
101,101,,,What is the patient doing with the operating table?,The patient is lying on the operating table,camera01_colorimage-003399.jpg
102,102,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-003399.jpg
103,103,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-003399.jpg
104,104,,,What is the relation between the assistant surgeon and the MPS station?,The assistant surgeon is close to the MPS station,camera01_colorimage-003399.jpg
105,105,,,What is the drape doing with the operating table?,The drape is lying on the operating table,camera01_colorimage-003399.jpg
106,106,,,Is the drape doing something with the patient?,The drape is lying on the patient,camera01_colorimage-003399.jpg
107,107,,,What is the relation between the nurse and the instrument table?,The nurse is close to the instrument table,camera01_colorimage-003399.jpg
108,108,,,What is the relation between the assistant surgeon and the patient?,The assistant surgeon is preparing the patient,camera01_colorimage-003399.jpg
109,109,,,Is the mps doing something with the MPS station?,The mps is close to the MPS station,camera01_colorimage-003399.jpg
110,110,,,What is the relation between the circulator and the instrument table?,The circulator is close to the instrument table,camera01_colorimage-003399.jpg
111,111,,,Is the head surgeon doing something with the drill?,The head surgeon is holding the drill,camera01_colorimage-003399.jpg
112,112,,,What is the nurse doing with the drill?,The nurse is holding the drill,camera01_colorimage-003399.jpg
113,113,,,Is the nurse doing something with the head surgeon?,The nurse is assisting the head surgeon,camera01_colorimage-003399.jpg
114,114,,,Is the head surgeon doing something with the patient?,The head surgeon is close to the patient,camera01_colorimage-003399.jpg
115,115,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-002113.jpg
116,116,,,What is the relation between the mps and the robot?,The mps is manipulating the robot,camera01_colorimage-002113.jpg
117,117,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-002113.jpg
118,118,,,What is the circulator doing with the nurse?,The circulator is close to the nurse,camera01_colorimage-002113.jpg
119,119,,,Is the anesthetist doing something with the patient?,The anesthetist is close to the patient,camera01_colorimage-002113.jpg
120,120,,,What is the patient doing with the operating table?,The patient is lying on the operating table,camera01_colorimage-005646.jpg
121,121,,,Is the drape doing something with the operating table?,The drape is lying on the operating table,camera01_colorimage-005646.jpg
122,122,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-005646.jpg
123,123,,,What is the relation between the mps and the robot?,The mps is manipulating the robot,camera01_colorimage-005646.jpg
124,124,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-005646.jpg
125,125,,,Is the nurse doing something with the instrument table?,The nurse is close to the instrument table,camera01_colorimage-005646.jpg
126,126,,,What is the relation between the circulator and the nurse?,The circulator is assisting the nurse,camera01_colorimage-005646.jpg
127,127,,,Is the circulator doing something with the instrument?,The circulator is holding the instrument,camera01_colorimage-005646.jpg
128,128,,,Is the nurse doing something with the instrument?,The nurse is holding the instrument,camera01_colorimage-005646.jpg
129,129,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-005646.jpg
130,130,,,What is the patient doing with the operating table?,The patient is lying on the operating table,camera01_colorimage-002140.jpg
131,131,,,Is the circulator doing something with the patient?,The circulator is close to the patient,camera01_colorimage-002140.jpg
132,132,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-002140.jpg
133,133,,,What is the relation between the mps and the MPS station?,The mps is close to the MPS station,camera01_colorimage-002140.jpg
134,134,,,What is the relation between the mps and the instrument table?,The mps is close to the instrument table,camera01_colorimage-002140.jpg
135,135,,,What is the nurse doing with the robot?,The nurse is manipulating the robot,camera01_colorimage-002140.jpg
136,136,,,What is the assistant surgeon doing with the instrument table?,The assistant surgeon is close to the instrument table,camera01_colorimage-002140.jpg
137,137,,,What is the anesthetist doing with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-002140.jpg
138,138,,,What is the relation between the patient and the operating table?,The patient is lying on the operating table,camera01_colorimage-005419.jpg
139,139,,,What is the drape doing with the operating table?,The drape is lying on the operating table,camera01_colorimage-005419.jpg
140,140,,,Is the drape doing something with the patient?,The drape is lying on the patient,camera01_colorimage-005419.jpg
141,141,,,Is the nurse doing something with the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-005419.jpg
142,142,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-005419.jpg
143,143,,,What is the relation between the C-arm and the patient?,The C-arm is close to the patient,camera01_colorimage-005419.jpg
144,144,,,What is the relation between the mps and the circulator?,The mps is close to the circulator,camera01_colorimage-005419.jpg
145,145,,,Is the nurse doing something with the instrument?,The nurse is holding the instrument,camera01_colorimage-005419.jpg
146,146,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-004997.jpg
147,147,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-004997.jpg
148,148,,,Is the anesthetist doing something with the patient?,The anesthetist is close to the patient,camera01_colorimage-004997.jpg
149,149,,,What is the drape doing with the operating table?,The drape is lying on the operating table,camera01_colorimage-004997.jpg
150,150,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-004997.jpg
151,151,,,Is the nurse doing something with the instrument table?,The nurse is close to the instrument table,camera01_colorimage-004997.jpg
152,152,,,What is the assistant surgeon doing with the patient?,The assistant surgeon is close to the patient,camera01_colorimage-004997.jpg
153,153,,,Is the mps doing something with the instrument table?,The mps is close to the instrument table,camera01_colorimage-004997.jpg
154,154,,,Is the head surgeon doing something with the patient?,The head surgeon is cementing the patient,camera01_colorimage-004997.jpg
155,155,,,What is the relation between the circulator and the instrument table?,The circulator is close to the instrument table,camera01_colorimage-004997.jpg
156,156,,,What is the nurse doing with the instrument?,The nurse is holding the instrument,camera01_colorimage-004997.jpg
157,157,,,What is the nurse doing with the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-001605.jpg
158,158,,,Is the mps doing something with the instrument table?,The mps is close to the instrument table,camera01_colorimage-001605.jpg
159,159,,,What is the circulator doing with the instrument table?,The circulator is close to the instrument table,camera01_colorimage-001605.jpg
160,160,,,What is the circulator doing with the instrument?,The circulator is holding the instrument,camera01_colorimage-001605.jpg
161,161,,,What is the anesthetist doing with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-001605.jpg
162,162,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-004438.jpg
163,163,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-004438.jpg
164,164,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-004438.jpg
165,165,,,Is the drape doing something with the operating table?,The drape is lying on the operating table,camera01_colorimage-004438.jpg
166,166,,,What is the relation between the drape and the patient?,The drape is lying on the patient,camera01_colorimage-004438.jpg
167,167,,,Is the nurse doing something with the patient?,The nurse is close to the patient,camera01_colorimage-004438.jpg
168,168,,,What is the relation between the head surgeon and the robot?,The head surgeon is manipulating the robot,camera01_colorimage-004438.jpg
169,169,,,What is the robot doing with the patient?,The robot is close to the patient,camera01_colorimage-004438.jpg
170,170,,,Is the mps doing something with the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-004438.jpg
171,171,,,What is the head surgeon doing with the saw?,The head surgeon is holding the saw,camera01_colorimage-004438.jpg
172,172,,,What is the relation between the head surgeon and the patient?,The head surgeon is sawing the patient,camera01_colorimage-004438.jpg
173,173,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-000740.jpg
174,174,,,What is the relation between the mps and the robot?,The mps is close to the robot,camera01_colorimage-000740.jpg
175,175,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-004967.jpg
176,176,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-004967.jpg
177,177,,,What is the relation between the anesthetist and the patient?,The anesthetist is close to the patient,camera01_colorimage-004967.jpg
178,178,,,What is the drape doing with the operating table?,The drape is lying on the operating table,camera01_colorimage-004967.jpg
179,179,,,What is the relation between the drape and the patient?,The drape is lying on the patient,camera01_colorimage-004967.jpg
180,180,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-004967.jpg
181,181,,,Is the assistant surgeon doing something with the patient?,The assistant surgeon is close to the patient,camera01_colorimage-004967.jpg
182,182,,,What is the mps doing with the instrument table?,The mps is close to the instrument table,camera01_colorimage-004967.jpg
183,183,,,What is the head surgeon doing with the nurse?,The head surgeon is close to the nurse,camera01_colorimage-004967.jpg
184,184,,,What is the mps doing with the instrument table?,The mps is close to the instrument table,camera01_colorimage-004967.jpg
185,185,,,What is the nurse doing with the instrument?,The nurse is holding the instrument,camera01_colorimage-004967.jpg
186,186,,,Is the head surgeon doing something with the instrument table?,The head surgeon is preparing the instrument table,camera01_colorimage-004967.jpg
187,187,,,What is the relation between the circulator and the instrument table?,The circulator is close to the instrument table,camera01_colorimage-004967.jpg
188,188,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-001797.jpg
189,189,,,Is the nurse doing something with the saw?,The nurse is holding the saw,camera01_colorimage-001797.jpg
190,190,,,Is the nurse doing something with the robot?,The nurse is manipulating the robot,camera01_colorimage-001797.jpg
191,191,,,What is the relation between the mps and the robot?,The mps is close to the robot,camera01_colorimage-001797.jpg
192,192,,,Is the mps doing something with the nurse?,The mps is close to the nurse,camera01_colorimage-001797.jpg
193,193,,,What is the relation between the circulator and the instrument table?,The circulator is close to the instrument table,camera01_colorimage-001797.jpg
194,194,,,What is the relation between the mps and the robot?,The mps is close to the robot,camera01_colorimage-000355.jpg
195,195,,,What is the relation between the nurse and the instrument table?,The nurse is close to the instrument table,camera01_colorimage-000355.jpg
196,196,,,What is the circulator doing with the nurse?,The circulator is assisting the nurse,camera01_colorimage-000355.jpg
197,197,,,Is the circulator doing something with the mps?,The circulator is close to the mps,camera01_colorimage-000355.jpg
198,198,,,What is the mps doing with the nurse?,The mps is assisting the nurse,camera01_colorimage-000355.jpg
199,199,,,What is the patient doing with the operating table?,The patient is lying on the operating table,camera01_colorimage-003641.jpg
200,200,,,What is the anesthetist doing with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-003641.jpg
201,201,,,Is the anesthetist doing something with the patient?,The anesthetist is close to the patient,camera01_colorimage-003641.jpg
202,202,,,What is the relation between the drape and the operating table?,The drape is lying on the operating table,camera01_colorimage-003641.jpg
203,203,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-003641.jpg
204,204,,,What is the relation between the nurse and the patient?,The nurse is close to the patient,camera01_colorimage-003641.jpg
205,205,,,What is the assistant surgeon doing with the patient?,The assistant surgeon is close to the patient,camera01_colorimage-003641.jpg
206,206,,,Is the head surgeon doing something with the patient?,The head surgeon is close to the patient,camera01_colorimage-003641.jpg
207,207,,,What is the relation between the mps and the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-003641.jpg
208,208,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-002878.jpg
209,209,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-002878.jpg
210,210,,,What is the relation between the anesthetist and the patient?,The anesthetist is close to the patient,camera01_colorimage-002878.jpg
211,211,,,What is the assistant surgeon doing with the MPS station?,The assistant surgeon is close to the MPS station,camera01_colorimage-002878.jpg
212,212,,,What is the assistant surgeon doing with the patient?,The assistant surgeon is close to the patient,camera01_colorimage-002878.jpg
213,213,,,Is the drape doing something with the operating table?,The drape is lying on the operating table,camera01_colorimage-002878.jpg
214,214,,,What is the drape doing with the patient?,The drape is lying on the patient,camera01_colorimage-002878.jpg
215,215,,,What is the relation between the nurse and the instrument table?,The nurse is close to the instrument table,camera01_colorimage-002878.jpg
216,216,,,What is the relation between the mps and the instrument table?,The mps is close to the instrument table,camera01_colorimage-002878.jpg
217,217,,,Is the patient doing something with the operating table?,The patient is lying on the operating table,camera01_colorimage-004348.jpg
218,218,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-004348.jpg
219,219,,,What is the anesthetist doing with the patient?,The anesthetist is close to the patient,camera01_colorimage-004348.jpg
220,220,,,What is the relation between the drape and the operating table?,The drape is lying on the operating table,camera01_colorimage-004348.jpg
221,221,,,Is the drape doing something with the patient?,The drape is lying on the patient,camera01_colorimage-004348.jpg
222,222,,,Is the nurse doing something with the patient?,The nurse is close to the patient,camera01_colorimage-004348.jpg
223,223,,,Is the head surgeon doing something with the patient?,The head surgeon is close to the patient,camera01_colorimage-004348.jpg
224,224,,,What is the head surgeon doing with the robot?,The head surgeon is calibrating the robot,camera01_colorimage-004348.jpg
225,225,,,Is the robot doing something with the patient?,The robot is close to the patient,camera01_colorimage-004348.jpg
226,226,,,What is the mps doing with the MPS station?,The mps is manipulating the MPS station,camera01_colorimage-004348.jpg
227,227,,,What is the relation between the head surgeon and the saw?,The head surgeon is holding the saw,camera01_colorimage-004348.jpg
228,228,,,What is the nurse doing with the head surgeon?,The nurse is assisting the head surgeon,camera01_colorimage-004348.jpg
229,229,,,What is the relation between the patient and the operating table?,The patient is lying on the operating table,camera01_colorimage-003003.jpg
230,230,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-003003.jpg
231,231,,,What is the relation between the anesthetist and the patient?,The anesthetist is close to the patient,camera01_colorimage-003003.jpg
232,232,,,Is the assistant surgeon doing something with the MPS station?,The assistant surgeon is close to the MPS station,camera01_colorimage-003003.jpg
233,233,,,Is the assistant surgeon doing something with the patient?,The assistant surgeon is close to the patient,camera01_colorimage-003003.jpg
234,234,,,What is the relation between the drape and the operating table?,The drape is lying on the operating table,camera01_colorimage-003003.jpg
235,235,,,What is the relation between the drape and the patient?,The drape is lying on the patient,camera01_colorimage-003003.jpg
236,236,,,Is the nurse doing something with the instrument table?,The nurse is close to the instrument table,camera01_colorimage-003003.jpg
237,237,,,Is the nurse doing something with the instrument?,The nurse is holding the instrument,camera01_colorimage-003003.jpg
238,238,,,What is the nurse doing with the head surgeon?,The nurse is assisting the head surgeon,camera01_colorimage-003003.jpg
239,239,,,Is the circulator doing something with the instrument table?,The circulator is close to the instrument table,camera01_colorimage-003003.jpg
240,240,,,What is the relation between the patient and the operating table?,The patient is lying on the operating table,camera01_colorimage-003151.jpg
241,241,,,What is the relation between the anesthetist and the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-003151.jpg
242,242,,,What is the relation between the anesthetist and the patient?,The anesthetist is close to the patient,camera01_colorimage-003151.jpg
243,243,,,Is the assistant surgeon doing something with the MPS station?,The assistant surgeon is close to the MPS station,camera01_colorimage-003151.jpg
244,244,,,What is the relation between the drape and the operating table?,The drape is lying on the operating table,camera01_colorimage-003151.jpg
245,245,,,What is the relation between the drape and the patient?,The drape is lying on the patient,camera01_colorimage-003151.jpg
246,246,,,What is the nurse doing with the patient?,The nurse is preparing the patient,camera01_colorimage-003151.jpg
247,247,,,What is the relation between the assistant surgeon and the patient?,The assistant surgeon is preparing the patient,camera01_colorimage-003151.jpg
248,248,,,What is the relation between the mps and the anesthesia equipment?,The mps is close to the anesthesia equipment,camera01_colorimage-003151.jpg
249,249,,,What is the relation between the head surgeon and the patient?,The head surgeon is preparing the patient,camera01_colorimage-003151.jpg
250,250,,,Is the head surgeon doing something with the nurse?,The head surgeon is close to the nurse,camera01_colorimage-003151.jpg
251,251,,,Is the nurse doing something with the instrument table?,The nurse is close to the instrument table,camera01_colorimage-000718.jpg
252,252,,,What is the mps doing with the MPS station?,The mps is close to the MPS station,camera01_colorimage-000718.jpg
253,253,,,What is the relation between the mps and the instrument table?,The mps is close to the instrument table,camera01_colorimage-000718.jpg
254,254,,,What is the circulator doing with the instrument table?,The circulator is close to the instrument table,camera01_colorimage-000718.jpg
255,255,,,What is the circulator doing with the instrument?,The circulator is holding the instrument,camera01_colorimage-000718.jpg
256,256,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-001805.jpg
257,257,,,What is the relation between the nurse and the saw?,The nurse is holding the saw,camera01_colorimage-001805.jpg
258,258,,,What is the nurse doing with the robot?,The nurse is manipulating the robot,camera01_colorimage-001805.jpg
259,259,,,Is the mps doing something with the robot?,The mps is close to the robot,camera01_colorimage-001805.jpg
260,260,,,What is the relation between the nurse and the instrument table?,The nurse is preparing the instrument table,camera01_colorimage-000710.jpg
261,261,,,What is the mps doing with the MPS station?,The mps is close to the MPS station,camera01_colorimage-000710.jpg
262,262,,,Is the mps doing something with the instrument table?,The mps is close to the instrument table,camera01_colorimage-000710.jpg
263,263,,,Is the anesthetist doing something with the anesthesia equipment?,The anesthetist is close to the anesthesia equipment,camera01_colorimage-001811.jpg
264,264,,,Is the nurse doing something with the saw?,The nurse is holding the saw,camera01_colorimage-001811.jpg
265,265,,,What is the nurse doing with the robot?,The nurse is manipulating the robot,camera01_colorimage-001811.jpg
266,266,,,Is the mps doing something with the robot?,The mps is close to the robot,camera01_colorimage-001811.jpg
267,267,,,What is the relation between the nurse and the instrument table?,The nurse is close to the instrument table,camera01_colorimage-000760.jpg
